epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.89808,5.39183,3.58912,1.34883,0.35281,0.3361,0.27253,0.09168,4.40501,1.74718,0.91661,0.0002,0.0002,0.0002
2,18.1251,4.15778,1.63465,1.00712,0,0,0,0,nan,nan,nan,0.000419584,0.000419584,0.000419584
3,26.6254,3.75086,1.10112,0.96396,0,0,0,0,nan,nan,nan,0.000638733,0.000638733,0.000638733
4,35.2214,3.87919,1.0422,0.97095,0,0,0,0,nan,nan,nan,0.000857446,0.000857446,0.000857446
5,43.9144,3.76164,0.95935,0.97061,0,0,0,0,nan,nan,nan,0.00107572,0.00107572,0.00107572
6,52.4834,3.89443,1.09189,0.9689,0,0,0,0,nan,nan,nan,0.00129356,0.00129356,0.00129356
7,61.1566,3.89333,0.9941,0.96156,0,0,0,0,nan,nan,nan,0.00151097,0.00151097,0.00151097
8,69.9103,3.99973,1.05251,0.97758,0,0,0,0,nan,nan,nan,0.00172794,0.00172794,0.00172794
9,78.7143,3.87813,1.03033,0.96563,0,0,0,0,nan,nan,nan,0.00194448,0.00194448,0.00194448
10,87.2892,4.11561,1.05726,0.98954,0,0,0,0,nan,nan,nan,0.00198218,0.00198218,0.00198218
11,95.8913,3.72757,0.97242,0.9638,0,0,0,0,nan,nan,nan,0.0019802,0.0019802,0.0019802
12,104.803,3.98728,0.98089,0.95315,0,0,0,0,nan,nan,nan,0.00197822,0.00197822,0.00197822
13,113.923,3.72028,1.0415,0.94588,0,0,0,0,nan,nan,nan,0.00197624,0.00197624,0.00197624
14,122.986,3.83387,1.06064,0.95058,0,0,0,0,nan,nan,nan,0.00197426,0.00197426,0.00197426
15,131.887,3.71658,1.00758,0.94928,0,0,0,0,8.15189,inf,2.53763,0.00197228,0.00197228,0.00197228
16,140.748,3.79326,0.99833,0.98663,0,0,0,0,5.01048,inf,1.06146,0.0019703,0.0019703,0.0019703
17,149.772,3.72379,0.9625,0.94657,0.45109,0.34154,0.33181,0.10929,4.46687,1.24815,0.97323,0.00196832,0.00196832,0.00196832
18,158.917,3.84103,0.97565,0.94235,0.48898,0.39433,0.3746,0.12767,4.24987,1.13976,0.9406,0.00196634,0.00196634,0.00196634
19,168.225,3.78226,0.98849,0.95325,0.46188,0.26267,0.29617,0.11912,4.06082,1.1996,0.97585,0.00196436,0.00196436,0.00196436
20,177.14,3.56036,0.92915,0.93998,0.43495,0.16089,0.20025,0.0793,4.75347,1.69256,1.08898,0.00196238,0.00196238,0.00196238
21,185.966,3.47448,0.90868,0.93698,0.44104,0.12096,0.15973,0.05859,5.54164,2.06344,1.25402,0.0019604,0.0019604,0.0019604
22,195.009,3.4681,0.91987,0.93798,0.15118,0.08875,0.13032,0.04659,6.0919,2.6344,1.42843,0.00195842,0.00195842,0.00195842
23,203.993,3.70317,0.93811,0.9178,0.5622,0.42224,0.4518,0.16207,4.04237,1.02789,0.91676,0.00195644,0.00195644,0.00195644
24,213.215,3.67764,0.95977,0.94869,0.61057,0.45777,0.49199,0.18758,3.86443,1.11351,0.90588,0.00195446,0.00195446,0.00195446
25,222.504,3.69639,0.96067,0.94025,0.58066,0.49041,0.4858,0.18935,3.65704,1.02991,0.89217,0.00195248,0.00195248,0.00195248
26,231.745,3.74244,0.96242,0.92836,0.59471,0.43916,0.47887,0.17687,3.82208,1.3115,0.89649,0.0019505,0.0019505,0.0019505
27,240.729,3.62451,0.92621,0.93655,0.61244,0.44389,0.49339,0.18983,3.83508,1.07259,0.90405,0.00194852,0.00194852,0.00194852
28,250.07,3.56232,0.93551,0.92463,0.62002,0.45949,0.50406,0.20668,3.69975,1.02978,0.89843,0.00194654,0.00194654,0.00194654
29,259.188,3.41543,0.8954,0.94045,0.60747,0.47581,0.50866,0.20326,3.78488,0.95487,0.90572,0.00194456,0.00194456,0.00194456
30,268.027,3.48987,0.8943,0.93854,0.62495,0.501,0.54291,0.22398,3.59343,0.93871,0.88654,0.00194258,0.00194258,0.00194258
31,277.357,3.45919,0.93262,0.9214,0.63788,0.4635,0.50428,0.20398,3.59464,1.364,0.88882,0.0019406,0.0019406,0.0019406
32,286.219,3.56052,0.93014,0.92257,0.58408,0.43581,0.46856,0.1651,3.92713,1.13957,0.88856,0.00193862,0.00193862,0.00193862
33,295.325,3.5586,0.92823,0.92808,0.60205,0.45205,0.50104,0.19416,3.72177,0.92891,0.8815,0.00193664,0.00193664,0.00193664
34,304.36,3.40036,0.89274,0.91492,0.60098,0.47867,0.52522,0.21276,3.6204,0.90127,0.87765,0.00193466,0.00193466,0.00193466
35,313.302,3.45652,0.8933,0.91501,0.63624,0.48195,0.53,0.19774,3.86351,0.93053,0.89202,0.00193268,0.00193268,0.00193268
36,322.322,3.44799,0.8776,0.91824,0.62896,0.49943,0.54399,0.21581,3.59342,0.89553,0.88206,0.0019307,0.0019307,0.0019307
37,331.355,3.53688,0.90659,0.92908,0.61982,0.48654,0.52865,0.21118,3.66668,0.89896,0.88692,0.00192872,0.00192872,0.00192872
38,340.342,3.49471,0.90332,0.91441,0.6588,0.48583,0.54802,0.23037,3.54295,0.87944,0.87745,0.00192674,0.00192674,0.00192674
39,349.514,3.40359,0.86834,0.91585,0.64877,0.50988,0.55404,0.22719,3.62257,0.91358,0.88072,0.00192476,0.00192476,0.00192476
40,358.39,3.29411,0.84875,0.91274,0.64745,0.46064,0.51029,0.20161,3.83001,0.91506,0.90779,0.00192278,0.00192278,0.00192278
41,367.454,3.26746,0.85536,0.9127,0.52531,0.46479,0.4756,0.17968,3.88602,0.93158,0.88514,0.0019208,0.0019208,0.0019208
42,376.399,3.39765,0.87794,0.89819,0.6141,0.51346,0.55311,0.22381,3.62706,0.87434,0.87992,0.00191882,0.00191882,0.00191882
43,385.298,3.29903,0.85969,0.90808,0.67471,0.50816,0.56463,0.2382,3.53596,0.85793,0.88154,0.00191684,0.00191684,0.00191684
44,394.575,3.33889,0.86745,0.90774,0.6443,0.49887,0.54833,0.23507,3.49983,0.85534,0.88528,0.00191486,0.00191486,0.00191486
45,403.509,3.31839,0.85713,0.9141,0.61061,0.51975,0.55778,0.23546,3.49815,0.85223,0.87865,0.00191288,0.00191288,0.00191288
46,412.552,3.35566,0.87562,0.89879,0.6304,0.51517,0.56453,0.22892,3.60717,0.85658,0.88355,0.0019109,0.0019109,0.0019109
47,421.521,3.36921,0.85809,0.91046,0.68223,0.499,0.56276,0.23677,3.48263,0.87087,0.87374,0.00190892,0.00190892,0.00190892
48,431.148,3.25491,0.83408,0.92246,0.69742,0.48237,0.5485,0.23086,3.53628,0.94226,0.88524,0.00190694,0.00190694,0.00190694
49,440.185,3.28361,0.83988,0.90559,0.67644,0.50574,0.57208,0.24868,3.34182,0.89431,0.87066,0.00190496,0.00190496,0.00190496
50,449.766,3.35807,0.84821,0.89337,0.6482,0.49716,0.55285,0.2155,3.57948,0.87729,0.87487,0.00190298,0.00190298,0.00190298
51,458.76,3.36398,0.86706,0.90763,0.68512,0.52319,0.58235,0.2433,3.44689,0.86782,0.87375,0.001901,0.001901,0.001901
52,467.861,3.23818,0.83993,0.89293,0.67696,0.49227,0.569,0.24488,3.39375,0.8442,0.87187,0.00189902,0.00189902,0.00189902
53,476.799,3.15483,0.82978,0.90709,0.6614,0.47896,0.55091,0.2352,3.45802,0.87112,0.87729,0.00189704,0.00189704,0.00189704
54,485.968,3.35018,0.84056,0.89668,0.68331,0.47295,0.54458,0.23043,3.49478,0.87001,0.87862,0.00189506,0.00189506,0.00189506
55,494.891,3.20993,0.83724,0.91308,0.64482,0.51703,0.56868,0.23727,3.46086,0.83281,0.87293,0.00189308,0.00189308,0.00189308
56,503.801,3.22049,0.83242,0.89171,0.67876,0.52233,0.58326,0.24979,3.40961,0.83871,0.87017,0.0018911,0.0018911,0.0018911
57,513.049,3.22244,0.83613,0.89571,0.68763,0.52244,0.58399,0.26065,3.33486,0.82741,0.86897,0.00188912,0.00188912,0.00188912
58,522.419,3.2097,0.80963,0.88168,0.69072,0.5302,0.59624,0.26469,3.31689,0.85059,0.86736,0.00188714,0.00188714,0.00188714
59,531.508,3.06853,0.80424,0.89072,0.68756,0.5185,0.58772,0.26346,3.31058,0.83489,0.8674,0.00188516,0.00188516,0.00188516
60,540.507,3.31196,0.82449,0.89594,0.69026,0.48839,0.55584,0.23372,3.54836,0.84308,0.88027,0.00188318,0.00188318,0.00188318
61,549.528,3.2626,0.82359,0.89174,0.65848,0.5262,0.58008,0.2415,3.4225,0.81808,0.86789,0.0018812,0.0018812,0.0018812
62,558.462,3.22179,0.81998,0.9025,0.6368,0.51889,0.56486,0.22784,3.49111,0.86065,0.86952,0.00187922,0.00187922,0.00187922
63,567.438,3.23322,0.85235,0.88635,0.69666,0.5408,0.60636,0.2747,3.18817,0.82566,0.86267,0.00187724,0.00187724,0.00187724
64,576.841,3.15509,0.81559,0.89675,0.62796,0.51462,0.56539,0.24113,3.40618,0.83432,0.86492,0.00187526,0.00187526,0.00187526
65,585.879,3.12238,0.81616,0.89729,0.70755,0.50472,0.58732,0.26668,3.25548,0.79066,0.86794,0.00187328,0.00187328,0.00187328
66,594.879,3.23671,0.8228,0.89262,0.72428,0.49284,0.57806,0.25969,3.31491,0.80472,0.87223,0.0018713,0.0018713,0.0018713
67,603.99,3.13277,0.80149,0.88775,0.69273,0.52182,0.59419,0.2574,3.29774,0.80182,0.86446,0.00186932,0.00186932,0.00186932
68,613.009,3.1588,0.83467,0.89581,0.71897,0.54838,0.61638,0.2757,3.22235,0.81516,0.86247,0.00186734,0.00186734,0.00186734
69,622.265,3.19378,0.80824,0.88358,0.71983,0.5465,0.61432,0.27683,3.21896,0.83795,0.86355,0.00186536,0.00186536,0.00186536
70,631.451,3.15608,0.8122,0.88835,0.66457,0.5481,0.59937,0.27304,3.21027,0.81585,0.86325,0.00186338,0.00186338,0.00186338
71,640.508,3.15088,0.80826,0.88807,0.70791,0.5199,0.5813,0.2586,3.38499,0.89528,0.8738,0.0018614,0.0018614,0.0018614
72,649.496,3.15301,0.79906,0.88963,0.72394,0.51474,0.59287,0.26688,3.30112,0.85471,0.86522,0.00185942,0.00185942,0.00185942
73,658.663,3.18166,0.81253,0.896,0.67599,0.51726,0.5839,0.24968,3.40201,0.83632,0.86623,0.00185744,0.00185744,0.00185744
74,667.627,3.10678,0.79139,0.89148,0.71517,0.54881,0.61585,0.28131,3.1987,0.79663,0.86296,0.00185546,0.00185546,0.00185546
75,676.89,3.07103,0.7876,0.87915,0.70721,0.55812,0.62237,0.29018,3.14316,0.77608,0.85828,0.00185348,0.00185348,0.00185348
76,686.338,3.04006,0.7818,0.88249,0.66466,0.56341,0.61204,0.27598,3.22357,0.78501,0.85864,0.0018515,0.0018515,0.0018515
77,695.258,3.11585,0.7925,0.89696,0.69243,0.54538,0.60978,0.27632,3.20841,0.80887,0.85979,0.00184952,0.00184952,0.00184952
78,704.088,3.10156,0.80082,0.8909,0.69264,0.54437,0.60357,0.27252,3.20967,0.81011,0.8605,0.00184754,0.00184754,0.00184754
79,713.19,3.03314,0.7886,0.87778,0.68691,0.54864,0.60708,0.2629,3.30534,0.80474,0.86293,0.00184556,0.00184556,0.00184556
80,722.21,3.05178,0.79304,0.87683,0.72388,0.55339,0.6261,0.28396,3.14591,0.77058,0.85965,0.00184358,0.00184358,0.00184358
81,731.274,2.91567,0.75426,0.88035,0.70044,0.56356,0.62679,0.28892,3.12048,0.755,0.85597,0.0018416,0.0018416,0.0018416
82,740.37,3.1058,0.77962,0.90411,0.68354,0.55711,0.61917,0.28697,3.10321,0.76407,0.85717,0.00183962,0.00183962,0.00183962
83,749.403,3.09484,0.78316,0.88461,0.6706,0.54366,0.60555,0.26708,3.27877,0.80712,0.86408,0.00183764,0.00183764,0.00183764
84,758.466,3.05148,0.77611,0.8776,0.71824,0.55243,0.6219,0.28926,3.13637,0.78094,0.85963,0.00183566,0.00183566,0.00183566
85,767.458,3.01491,0.7974,0.90871,0.69131,0.56284,0.62138,0.28228,3.17427,0.79379,0.85972,0.00183368,0.00183368,0.00183368
86,776.56,3.06522,0.79689,0.88183,0.67798,0.54767,0.60716,0.26467,3.29072,0.81197,0.86247,0.0018317,0.0018317,0.0018317
87,785.488,3.08322,0.81207,0.8929,0.71419,0.51031,0.57879,0.25736,3.30634,0.80281,0.87116,0.00182972,0.00182972,0.00182972
88,794.73,3.07508,0.78851,0.87964,0.6988,0.51646,0.58135,0.26456,3.20674,0.78215,0.87002,0.00182774,0.00182774,0.00182774
89,803.882,3.12214,0.79715,0.88141,0.61142,0.51074,0.55405,0.2205,3.54871,0.83236,0.86991,0.00182576,0.00182576,0.00182576
90,813.005,3.21134,0.79295,0.88413,0.67147,0.55711,0.6157,0.28269,3.13057,0.78091,0.85769,0.00182378,0.00182378,0.00182378
91,822.105,3.22148,0.80815,0.88356,0.69071,0.54853,0.60944,0.27777,3.22284,0.77875,0.86365,0.0018218,0.0018218,0.0018218
92,831.096,3.07448,0.79991,0.89387,0.64306,0.52944,0.5819,0.25138,3.35978,0.83272,0.86232,0.00181982,0.00181982,0.00181982
93,839.966,3.14307,0.82275,0.88852,0.64414,0.53836,0.58574,0.24855,3.42731,0.83422,0.86931,0.00181784,0.00181784,0.00181784
94,849.138,3.15674,0.81382,0.88436,0.68089,0.55425,0.61042,0.27602,3.24852,0.79822,0.86277,0.00181586,0.00181586,0.00181586
95,858.183,3.15276,0.8202,0.88426,0.7058,0.54681,0.61346,0.27733,3.17082,0.82075,0.85876,0.00181388,0.00181388,0.00181388
96,867.166,3.06288,0.8115,0.88684,0.70981,0.56084,0.62676,0.28712,3.07934,0.80029,0.85358,0.0018119,0.0018119,0.0018119
97,876.187,2.95852,0.78632,0.88454,0.65052,0.51761,0.58483,0.25413,3.35877,0.82272,0.86437,0.00180992,0.00180992,0.00180992
98,885.345,3.14045,0.84591,0.8878,0.68064,0.48468,0.57393,0.25961,3.28958,0.8257,0.86624,0.00180794,0.00180794,0.00180794
99,894.219,3.07412,0.81339,0.88698,0.68382,0.52041,0.58829,0.26631,3.28801,0.80047,0.86679,0.00180596,0.00180596,0.00180596
100,903.292,2.99105,0.82819,0.88725,0.70776,0.573,0.62612,0.28741,3.16366,0.81415,0.85814,0.00180398,0.00180398,0.00180398
101,912.31,2.97357,0.79121,0.87848,0.70493,0.57828,0.62842,0.28712,3.15741,0.90396,0.85443,0.001802,0.001802,0.001802
102,921.361,3.13733,0.81082,0.8778,0.71727,0.52475,0.58681,0.25033,3.41244,0.90557,0.86792,0.00180002,0.00180002,0.00180002
103,930.42,3.13183,0.84374,0.89173,0.64875,0.54649,0.58375,0.24994,3.26653,0.84587,0.86132,0.00179804,0.00179804,0.00179804
104,939.436,3.12638,0.83446,0.90019,0.65414,0.542,0.57533,0.24314,3.31365,0.87926,0.86114,0.00179606,0.00179606,0.00179606
105,948.505,3.13786,0.85924,0.89005,0.70618,0.54137,0.60116,0.26634,3.29439,0.78616,0.86319,0.00179408,0.00179408,0.00179408
106,957.471,3.06782,0.79741,0.88515,0.69091,0.55339,0.61141,0.28095,3.16476,0.78071,0.85797,0.0017921,0.0017921,0.0017921
107,966.426,2.97393,0.79581,0.88303,0.68518,0.53617,0.603,0.26968,3.22781,0.7927,0.85852,0.00179012,0.00179012,0.00179012
108,975.611,3.14377,0.80659,0.87951,0.71941,0.52348,0.60222,0.27698,3.17755,0.87955,0.85762,0.00178814,0.00178814,0.00178814
109,984.724,3.076,0.78324,0.87949,0.71589,0.51202,0.59808,0.26426,3.22015,0.88227,0.85698,0.00178616,0.00178616,0.00178616
110,993.731,3.02875,0.77597,0.87909,0.71426,0.53421,0.6129,0.28583,3.10019,0.81013,0.85323,0.00178418,0.00178418,0.00178418
111,1002.76,2.98754,0.75327,0.87727,0.6917,0.57486,0.6321,0.29919,3.072,0.75066,0.85304,0.0017822,0.0017822,0.0017822
